age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,player_name,season
28.620125,200.78148,97.14254,29.18829,2.4762287,2.8449955,0.7887207,-5.922184,0.06688391,0.15562081,0.13198343,0.4794087,0.0975316,Andre Roberson,22
30.459665,211.23521,112.948845,40.51611,8.25789,2.8900733,0.5312835,-3.9914138,0.044780042,0.15253364,0.20648317,0.51526624,0.06959601,Andrea Bargnani,17
31.265734,205.15498,105.45987,38.557938,4.6934586,2.7481852,1.1101738,-3.279376,0.058862764,0.15016629,0.15814152,0.49962226,0.103541225,Andrei Kirilenko,16
30.110832,200.62349,101.102585,38.295795,6.062914,2.1282268,0.65182763,-5.3610606,0.03953879,0.13015883,0.18762279,0.48943016,0.09639189,Andres Nocioni,13
31.179699,211.72566,114.67516,31.34758,4.0496507,4.668546,1.4136078,-3.558015,0.09132888,0.21300682,0.1451036,0.50751865,0.107494146,Andrew Bogut,20
26.951624,212.94104,125.85015,44.594513,11.055453,7.0415874,1.2732276,-3.4931784,0.093223095,0.23690498,0.21230438,0.53678864,0.08491148,Andrew Bynum,15
27.777514,207.36043,109.32993,49.065002,6.7594376,5.1785054,0.90532434,-3.1810205,0.106323466,0.19595703,0.1673936,0.5181752,0.07150561,Andrew DeClercq,100
27.997637,205.46695,112.37753,38.254025,4.622191,2.1586387,0.2512943,-7.011137,0.051317766,0.14767514,0.17792973,0.48673722,0.07046352,Andrew Nicholson,18
28.945862,199.92888,91.65822,54.614277,14.979691,4.295464,2.311376,0.68490833,0.03276761,0.12953971,0.23619695,0.5406604,0.13561311,Andrew Wiggins,24
28.752712,212.75099,112.09716,24.93193,-0.014356327,3.1719742,0.33292145,-5.8267984,0.08417662,0.1960648,0.09755735,0.49952492,0.053127423,Andris Biedrins,15
28.424866,198.7781,95.42171,48.87212,15.5586815,4.831234,4.2393684,-0.23503132,0.02276168,0.13743947,0.23729353,0.53159684,0.23816344,Anfernee Hardaway,100
25.223383,189.69994,84.26517,63.302345,18.534006,3.6048238,4.000952,0.63460344,0.0025796983,0.08781412,0.2597816,0.55553824,0.21317211,Anfernee Simons,24
25.056671,207.41684,104.881035,60.069702,14.757974,6.665303,1.556603,-0.09623555,0.08483812,0.1754344,0.24566633,0.5117351,0.10125086,Antawn Jamison,100
31.8796,188.04555,86.49518,40.267662,5.1182823,1.7154864,3.1581342,-3.4894924,0.023972115,0.09556036,0.17066696,0.47509953,0.24955308,Anthony Carter,13
30.826897,208.56842,114.37313,58.87469,22.642687,9.696524,3.1216407,3.4999247,0.06836653,0.23475237,0.28638917,0.5848234,0.14471598,Anthony Davis,24
27.160088,187.3563,81.65723,45.97126,8.194172,2.1868348,3.536021,-3.6819608,0.014025341,0.084810466,0.18948197,0.4790683,0.25375742,Anthony Goldwire,99
25.91223,190.07416,85.232216,42.72682,7.55781,2.2010443,3.3684938,-4.2704372,0.025453672,0.09485987,0.19000961,0.4768824,0.2434296,Anthony Johnson,100
32.279892,203.0197,110.83266,59.84406,12.649617,7.910178,4.1016436,2.8534265,0.06287401,0.21312377,0.18007918,0.5339452,0.20950519,Anthony Mason,99
27.017323,206.34705,113.69976,20.808786,1.4419384,2.824976,0.2757549,-9.428302,0.084174946,0.18422325,0.14733821,0.47428396,0.078136,Anthony Miller,100
31.234833,195.62624,95.56649,47.09273,5.812664,0.8884233,0.5159744,-3.6272142,0.018162597,0.08610623,0.16711403,0.509306,0.080058046,Anthony Morrow,18
25.618591,198.26875,93.76398,28.298176,5.535994,1.5371271,1.4933604,-6.1582346,0.03225001,0.1088229,0.18469825,0.48951426,0.15266186,Anthony Parker,100
30.113697,193.37726,92.926384,42.68379,9.330915,2.7186234,2.7473192,-3.2758095,0.028987303,0.11265749,0.20349073,0.49776474,0.19692639,Anthony Peeler,100
