,player_name,season,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1626,A.C. Green,0,36.0,205.74,102.0582,82,5.0,5.9,1.0,8.1,0.089,0.179,0.111,0.482,0.0579999999999999
1971,A.C. Green,1,37.0,205.74,102.0582,82,4.5,3.8,0.5,3.3,0.089,0.171,0.141,0.492,0.05
419,A.C. Green,97,33.0,205.74,102.0582,83,7.2,7.9,0.8,-8.0,0.1,0.207,0.119,0.523,0.045
667,A.C. Green,98,34.0,205.74,102.0582,82,7.3,8.1,1.5,-7.2,0.09,0.196,0.118,0.496,0.074
1006,A.C. Green,99,35.0,205.74,102.0582,50,4.9,4.6,0.5,-5.6,0.0969999999999999,0.179,0.148,0.441,0.043
1625,A.J. Bramlett,0,23.0,208.28,102.965384,8,1.0,2.8,0.0,-32.6,0.158,0.208,0.146,0.19,0.0
1970,A.J. Guyton,1,23.0,185.42,81.64656,33,6.0,1.1,1.9,-12.4,0.018,0.053,0.1689999999999999,0.495,0.198
2613,A.J. Guyton,2,24.0,185.42,81.64656,45,5.4,1.0,1.8,-3.8,0.022,0.067,0.221,0.477,0.248
2929,A.J. Guyton,3,25.0,185.42,81.64656,2,0.0,0.0,1.0,-3.9,0.0,0.0,0.282,0.0,0.4
12588,A.J. Lawson,23,22.0,198.12,81.19296800000001,15,3.7,1.4,0.1,-20.1,0.046,0.152,0.1889999999999999,0.589,0.032
12589,AJ Green,23,23.0,195.58,86.18248,35,4.4,1.3,0.6,-4.9,0.016,0.105,0.159,0.607,0.092
12590,AJ Griffin,23,19.0,198.12,99.79024,72,8.9,2.1,1.0,1.5,0.026,0.08,0.174,0.5770000000000001,0.07
9405,AJ Hammons,17,24.0,213.36,117.93392,22,2.2,1.6,0.2,-0.6,0.049,0.1989999999999999,0.1669999999999999,0.472,0.038
5931,AJ Price,10,23.0,187.96,82.10015200000001,56,7.3,1.6,1.9,1.4,0.015,0.098,0.225,0.53,0.198
6664,AJ Price,11,24.0,187.96,82.10015200000001,50,6.5,1.4,2.2,1.6,0.022,0.083,0.2269999999999999,0.4539999999999999,0.233
6679,AJ Price,12,25.0,187.96,83.91452,44,3.9,1.4,2.0,0.5,0.024,0.104,0.175,0.4539999999999999,0.264
7226,AJ Price,13,26.0,187.96,83.91452,57,7.7,2.0,3.6,-2.3,0.017,0.083,0.181,0.501,0.273
8090,AJ Price,14,27.0,187.96,88.45044,28,1.6,0.4,0.5,-2.4,0.009,0.081,0.23,0.469,0.271
8333,AJ Price,15,28.0,187.96,88.45044,26,5.1,1.2,1.8,-12.2,0.019,0.096,0.226,0.451,0.254
5033,Aaron Brooks,8,23.0,182.88,73.028312,51,5.2,1.1,1.7,-0.5,0.026,0.085,0.2239999999999999,0.535,0.249
5754,Aaron Brooks,9,24.0,182.88,73.028312,80,11.2,2.0,3.0,4.2,0.021,0.071,0.231,0.521,0.201
5932,Aaron Brooks,10,25.0,182.88,73.028312,82,19.6,2.6,5.3,-0.7,0.021,0.065,0.258,0.5489999999999999,0.253
6665,Aaron Brooks,11,26.0,182.88,73.028312,59,10.7,1.3,3.9,-6.5,0.017,0.053,0.257,0.489,0.289
7157,Aaron Brooks,13,28.0,182.88,73.028312,53,7.1,1.5,2.2,-10.7,0.0139999999999999,0.077,0.181,0.555,0.19
8091,Aaron Brooks,14,29.0,182.88,73.028312,72,9.0,1.9,3.2,-2.5,0.031,0.069,0.205,0.518,0.238
8332,Aaron Brooks,15,30.0,182.88,73.028312,82,11.6,2.0,3.2,5.2,0.019,0.078,0.252,0.534,0.245
8749,Aaron Brooks,16,31.0,182.88,73.028312,69,7.1,1.5,2.6,-1.4,0.02,0.078,0.231,0.494,0.265
9404,Aaron Brooks,17,32.0,182.88,73.028312,65,5.0,1.1,1.9,-3.0,0.022,0.064,0.191,0.507,0.216
9926,Aaron Brooks,18,33.0,182.88,73.028312,32,2.3,0.5,0.6,-17.2,0.036,0.057,0.192,0.508,0.161
8331,Aaron Gordon,15,19.0,205.74,99.79024,47,5.2,3.6,0.7,-5.6,0.064,0.171,0.156,0.517,0.064
8750,Aaron Gordon,16,20.0,205.74,99.79024,78,9.2,6.5,1.6,-1.3,0.089,0.21,0.171,0.541,0.103
9403,Aaron Gordon,17,21.0,205.74,99.79024,80,12.7,5.1,1.9,-2.8,0.054,0.141,0.2,0.53,0.0969999999999999
9925,Aaron Gordon,18,22.0,205.74,99.79024,58,17.6,7.9,2.3,-2.0,0.044,0.191,0.238,0.53,0.111
10269,Aaron Gordon,19,23.0,205.74,99.79024,78,16.0,7.4,3.7,1.5,0.047,0.165,0.213,0.5379999999999999,0.166
