,player_name,season,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
10851,Aaron Gordon,20,24.0,203.2,106.59412,62,14.4,7.7,3.7,-1.2,0.05,0.181,0.205,0.516,0.165
11330,Aaron Gordon,21,25.0,203.2,106.59412,50,12.4,5.7,3.2,2.1,0.055,0.15,0.204,0.547,0.165
11955,Aaron Gordon,22,26.0,203.2,106.59412,75,15.0,5.9,2.5,6.2,0.057,0.129,0.1939999999999999,0.602,0.109
12591,Aaron Gordon,23,27.0,203.2,106.59412,68,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129
5032,Aaron Gray,8,23.0,213.36,122.46984,61,4.3,2.8,0.7,-1.0,0.127,0.188,0.221,0.529,0.113
5755,Aaron Gray,9,24.0,213.36,122.46984,56,3.5,3.9,0.8,-5.3,0.135,0.213,0.142,0.508,0.098
5933,Aaron Gray,10,25.0,213.36,122.46984,32,3.3,3.3,0.7,-1.7,0.1639999999999999,0.23,0.1639999999999999,0.551,0.109
6666,Aaron Gray,11,26.0,213.36,122.46984,41,3.1,4.2,0.4,2.2,0.14,0.273,0.132,0.5660000000000001,0.044
7003,Aaron Gray,12,27.0,213.36,122.46984,49,3.9,5.7,0.6,-7.9,0.1159999999999999,0.293,0.1369999999999999,0.526,0.055
7623,Aaron Gray,13,28.0,213.36,122.46984,42,2.8,3.2,0.8,-7.7,0.107,0.207,0.132,0.544,0.103
8092,Aaron Gray,14,29.0,213.36,122.46984,37,1.8,3.0,0.6,-11.7,0.13,0.226,0.125,0.466,0.092
8751,Aaron Harrison,16,21.0,198.12,95.25432,21,0.9,0.7,0.1,2.2,0.047,0.133,0.138,0.371,0.033
9402,Aaron Harrison,17,22.0,198.12,95.25432,5,0.2,0.6,0.6,-18.6,0.0,0.2,0.142,0.102,0.375
9924,Aaron Harrison,18,23.0,198.12,95.25432,9,6.7,2.7,1.2,-14.1,0.015,0.091,0.147,0.392,0.072
11956,Aaron Henry,22,22.0,195.58,95.25432,6,0.3,0.2,0.0,-56.0,0.0,0.048,0.149,0.2,0.0
10270,Aaron Holiday,19,22.0,185.42,83.91452,50,5.9,1.3,1.7,7.0,0.008,0.088,0.206,0.518,0.18
10850,Aaron Holiday,20,23.0,182.88,83.91452,66,9.5,2.4,3.4,2.2,0.013,0.077,0.182,0.521,0.188
11331,Aaron Holiday,21,24.0,182.88,83.91452,66,7.2,1.3,1.9,-0.2,0.012,0.06,0.1889999999999999,0.503,0.139
11958,Aaron Holiday,22,25.0,182.88,83.91452,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223
12592,Aaron Holiday,23,26.0,182.88,83.91452,63,3.9,1.2,1.4,0.9,0.0279999999999999,0.059,0.129,0.528,0.135
9923,Aaron Jackson,18,32.0,190.5,83.007336,1,8.0,3.0,1.0,-19.8,0.0559999999999999,0.031,0.149,0.405,0.053
1624,Aaron McKie,0,27.0,195.58,94.800728,82,8.0,3.0,2.9,0.1,0.026,0.115,0.172,0.497,0.2019999999999999
1969,Aaron McKie,1,28.0,195.58,94.800728,76,11.6,4.1,5.0,6.8,0.016,0.13,0.19,0.5489999999999999,0.264
2612,Aaron McKie,2,29.0,195.58,94.800728,48,12.2,4.0,3.7,3.4,0.02,0.125,0.1989999999999999,0.54,0.22
2928,Aaron McKie,3,30.0,195.58,94.800728,80,9.0,4.4,3.5,3.9,0.03,0.143,0.158,0.497,0.185
3154,Aaron McKie,4,31.0,195.58,94.800728,75,9.2,3.4,2.6,-1.7,0.025,0.118,0.163,0.55,0.1689999999999999
3508,Aaron McKie,5,32.0,195.58,94.800728,68,2.2,2.5,1.5,0.2,0.019,0.155,0.07,0.51,0.135
4313,Aaron McKie,6,33.0,195.58,94.800728,14,0.5,1.4,0.8,-6.2,0.03,0.168,0.06,0.272,0.147
4512,Aaron McKie,7,34.0,195.58,94.800728,10,2.2,1.8,1.3,-4.0,0.009,0.155,0.089,0.647,0.165
420,Aaron McKie,97,24.0,195.58,94.800728,83,5.2,2.7,1.9,5.2,0.031,0.129,0.147,0.524,0.163
666,Aaron McKie,98,25.0,195.58,94.800728,81,4.1,2.9,2.2,1.6,0.036,0.113,0.121,0.41,0.159
1007,Aaron McKie,99,26.0,195.58,94.800728,50,4.8,2.8,2.0,-1.9,0.033,0.139,0.152,0.4539999999999999,0.183
4312,Aaron Miles,6,23.0,185.42,86.18248,19,0.8,0.7,1.3,-3.9,0.0,0.154,0.113,0.405,0.308
11332,Aaron Nesmith,21,21.0,195.58,97.52228,46,4.7,2.8,0.5,-0.5,0.0409999999999999,0.146,0.133,0.573,0.047
11965,Aaron Nesmith,22,22.0,195.58,97.52228,52,3.8,1.7,0.4,3.0,0.025,0.1169999999999999,0.1639999999999999,0.507,0.057
12593,Aaron Nesmith,23,23.0,195.58,97.52228,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073
11959,Aaron Wiggins,22,23.0,193.04,86.18248,50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083
12594,Aaron Wiggins,23,24.0,195.58,86.18248,70,6.8,3.0,1.1,1.5,0.05,0.109,0.143,0.607,0.084
1623,Aaron Williams,0,28.0,205.74,102.0582,81,7.6,5.0,0.7,2.2,0.122,0.186,0.18,0.5720000000000001,0.062
1968,Aaron Williams,1,29.0,205.74,102.0582,82,10.2,7.2,1.1,-9.1,0.102,0.2,0.18,0.5329999999999999,0.068
2611,Aaron Williams,2,30.0,205.74,108.86208,82,7.2,4.1,0.9,4.8,0.087,0.165,0.179,0.568,0.084
2927,Aaron Williams,3,31.0,205.74,108.86208,81,6.2,4.1,1.1,1.0,0.099,0.136,0.165,0.504,0.092
3155,Aaron Williams,4,32.0,205.74,108.86208,72,6.3,4.1,1.1,-2.7,0.088,0.171,0.175,0.5489999999999999,0.109
3811,Aaron Williams,5,33.0,205.74,106.59412,42,1.7,1.4,0.2,-21.3,0.062,0.171,0.132,0.518,0.049
4311,Aaron Williams,6,34.0,205.74,106.59412,48,4.6,3.8,0.4,-3.2,0.096,0.182,0.138,0.551,0.036
4511,Aaron Williams,7,35.0,205.74,106.59412,38,2.0,2.2,0.2,-2.4,0.09,0.187,0.1009999999999999,0.606,0.03
5031,Aaron Williams,8,36.0,205.74,106.59412,30,2.3,2.0,0.3,-15.9,0.06,0.186,0.118,0.54,0.052
421,Aaron Williams,97,25.0,205.74,102.0582,33,6.2,4.3,0.5,-8.3,0.129,0.163,0.168,0.599,0.051
651,Aaron Williams,98,26.0,205.74,102.0582,65,4.6,2.3,0.2,5.5,0.084,0.147,0.186,0.5770000000000001,0.0289999999999999
1008,Aaron Williams,99,27.0,205.74,102.0582,40,4.0,3.2,0.6,-11.2,0.129,0.191,0.18,0.508,0.094
9922,Abdel Nader,18,24.0,198.12,104.32616,48,3.0,1.5,0.5,-10.3,0.024,0.111,0.162,0.439,0.078
10271,Abdel Nader,19,25.0,198.12,102.0582,61,4.0,1.9,0.3,-9.5,0.017,0.139,0.148,0.522,0.044
10849,Abdel Nader,20,26.0,195.58,102.0582,55,6.3,1.8,0.7,-4.2,0.016,0.095,0.1639999999999999,0.591,0.068
11333,Abdel Nader,21,27.0,195.58,102.0582,24,6.7,2.6,0.8,5.0,0.02,0.151,0.183,0.605,0.078
11960,Abdel Nader,22,28.0,195.58,102.0582,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065
422,Acie Earl,97,27.0,210.82,108.86208,47,4.0,2.0,0.4,-6.4,0.079,0.14,0.2239999999999999,0.435,0.077
5034,Acie Law,8,23.0,190.5,88.45044,56,4.2,1.0,2.0,-7.2,0.016,0.062,0.1639999999999999,0.455,0.218
5756,Acie Law,9,24.0,190.5,91.625584,55,2.9,1.1,1.6,1.2,0.013,0.1,0.1639999999999999,0.49,0.257
5934,Acie Law,10,25.0,190.5,91.625584,26,4.3,0.7,1.0,7.0,0.015,0.068,0.22,0.585,0.17
6668,Acie Law,11,26.0,190.5,91.625584,51,4.2,1.2,1.6,-8.2,0.019,0.0819999999999999,0.16,0.502,0.182
2926,Adam Harrington,3,22.0,195.58,90.7184,19,1.6,0.4,0.6,-15.7,0.01,0.088,0.1669999999999999,0.387,0.179
1622,Adam Keefe,0,30.0,205.74,104.32616,62,2.2,2.2,0.5,-3.3,0.0969999999999999,0.187,0.149,0.4629999999999999,0.093
1967,Adam Keefe,1,31.0,205.74,104.32616,67,2.5,3.1,0.5,-9.2,0.105,0.175,0.1159999999999999,0.45,0.066
423,Adam Keefe,97,27.0,205.74,109.315672,62,3.8,3.5,0.5,6.7,0.11,0.177,0.126,0.5720000000000001,0.051
639,Adam Keefe,98,28.0,205.74,104.32616,80,7.8,5.5,1.1,9.7,0.119,0.147,0.131,0.605,0.063
1009,Adam Keefe,99,29.0,205.74,104.32616,44,4.0,3.2,0.6,4.2,0.103,0.16,0.142,0.5329999999999999,0.074
10848,Adam Mokoka,20,21.0,195.58,86.18248,11,2.9,0.9,0.4,17.1,0.057,0.0289999999999999,0.11,0.5379999999999999,0.043
11334,Adam Mokoka,21,22.0,193.04,86.18248,14,1.1,0.4,0.4,-7.1,0.017,0.077,0.171,0.386,0.179
4510,Adam Morrison,7,22.0,203.2,92.98636,78,11.8,2.9,2.1,-7.0,0.026,0.092,0.22,0.45,0.121
5691,Adam Morrison,9,24.0,203.2,92.98636,52,4.0,1.5,0.8,-7.4,0.032,0.11,0.177,0.4479999999999999,0.1009999999999999
5935,Adam Morrison,10,25.0,203.2,92.98636,31,2.4,1.0,0.6,-9.1,0.044,0.1009999999999999,0.183,0.418,0.121
11961,Ade Murkey,22,24.0,195.58,90.7184,1,0.0,0.0,0.0,-33.3,0.0,0.0,0.0,0.0,0.0
10847,Admiral Schofield,20,23.0,195.58,109.315672,33,3.0,1.4,0.5,-7.1,0.017,0.106,0.118,0.502,0.057
11962,Admiral Schofield,22,25.0,195.58,109.315672,38,3.8,2.3,0.7,-13.5,0.033,0.146,0.143,0.5379999999999999,0.084
12595,Admiral Schofield,23,26.0,195.58,109.315672,37,4.2,1.7,0.8,-8.3,0.047,0.092,0.139,0.5870000000000001,0.103
1621,Adonal Foyle,0,25.0,208.28,113.398,76,5.5,5.6,0.6,-9.8,0.104,0.163,0.127,0.5,0.04
1966,Adonal Foyle,1,26.0,208.28,113.398,58,5.9,7.0,0.8,-11.7,0.1009999999999999,0.1889999999999999,0.139,0.422,0.052
2610,Adonal Foyle,2,27.0,208.28,120.20188,79,4.8,4.9,0.5,-7.2,0.105,0.171,0.145,0.445,0.044
2925,Adonal Foyle,3,28.0,208.28,120.20188,82,5.4,6.0,0.5,3.7,0.109,0.182,0.113,0.563,0.032
3156,Adonal Foyle,4,29.0,208.28,120.20188,44,3.1,3.8,0.4,-5.2,0.104,0.222,0.135,0.471,0.05
3812,Adonal Foyle,5,30.0,208.28,122.46984,78,4.5,5.5,0.7,-0.1,0.102,0.171,0.105,0.514,0.048
4310,Adonal Foyle,6,31.0,208.28,122.46984,77,4.5,5.5,0.4,-0.3,0.086,0.165,0.102,0.524,0.0279999999999999
4509,Adonal Foyle,7,32.0,208.28,122.46984,48,2.2,2.6,0.4,-3.2,0.1159999999999999,0.1689999999999999,0.106,0.557,0.054
5035,Adonal Foyle,8,33.0,208.28,122.46984,82,1.9,2.5,0.2,0.4,0.107,0.195,0.123,0.4639999999999999,0.038
5757,Adonal Foyle,9,34.0,208.28,122.46984,10,1.7,2.6,0.1,-3.7,0.138,0.258,0.12,0.623,0.0279999999999999
640,Adonal Foyle,98,23.0,208.28,113.398,55,3.0,3.3,0.3,-11.8,0.1119999999999999,0.182,0.162,0.418,0.037
1010,Adonal Foyle,99,24.0,208.28,113.398,44,2.9,4.4,0.4,-3.9,0.14,0.2019999999999999,0.126,0.45,0.049
1011,Adonis Jordan,99,28.0,180.34,77.11064,4,1.5,0.0,0.8,-36.4,0.0,0.0,0.185,0.521,0.273
8097,Adonis Thomas,14,21.0,200.66,108.86208,6,2.3,0.5,0.5,10.8,0.0,0.091,0.184,0.485,0.115
8330,Adreian Payne,15,24.0,208.28,111.13004,32,6.7,5.1,0.9,-16.9,0.073,0.186,0.176,0.4429999999999999,0.067
8752,Adreian Payne,16,25.0,208.28,107.501304,52,2.5,2.1,0.6,-10.8,0.049,0.22,0.18,0.422,0.093
9401,Adreian Payne,17,26.0,208.28,107.501304,18,3.5,1.8,0.4,0.8,0.069,0.2,0.2239999999999999,0.505,0.089
9921,Adreian Payne,18,27.0,208.28,107.501304,5,4.2,1.8,0.0,-12.4,0.044,0.226,0.155,0.831,0.0
424,Adrian Caldwell,97,30.0,203.2,120.20188,45,2.2,3.7,0.3,-6.2,0.108,0.208,0.105,0.4429999999999999,0.03
641,Adrian Caldwell,98,31.0,203.2,120.20188,1,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0
1620,Adrian Griffin,0,25.0,195.58,97.52228,72,6.7,5.2,2.5,-1.1,0.071,0.156,0.129,0.503,0.135
1965,Adrian Griffin,1,26.0,195.58,97.52228,44,2.1,2.0,0.6,-4.9,0.077,0.2019999999999999,0.149,0.432,0.125
2609,Adrian Griffin,2,27.0,195.58,97.52228,58,7.2,3.9,1.8,6.3,0.0559999999999999,0.129,0.1369999999999999,0.545,0.108
2924,Adrian Griffin,3,28.0,195.58,104.32616,74,4.4,3.6,1.4,8.1,0.07,0.145,0.131,0.4629999999999999,0.111
3157,Adrian Griffin,4,29.0,195.58,104.32616,19,0.6,1.0,0.5,-8.4,0.01,0.1669999999999999,0.093,0.278,0.132
3813,Adrian Griffin,5,30.0,195.58,104.32616,69,2.2,2.1,0.8,3.6,0.081,0.156,0.139,0.419,0.134
4309,Adrian Griffin,6,31.0,195.58,104.32616,52,4.6,4.4,1.7,9.1,0.075,0.148,0.1009999999999999,0.521,0.107
4508,Adrian Griffin,7,32.0,195.58,104.32616,54,2.5,2.0,1.1,7.4,0.089,0.14,0.135,0.499,0.154
5036,Adrian Griffin,8,33.0,195.58,104.32616,35,1.9,1.7,0.8,0.4,0.099,0.12,0.146,0.406,0.134
11963,Ahmad Caver,22,25.0,187.96,78.92500799999999,1,2.0,0.0,0.0,133.3,0.0,0.0,0.5,1.0,0.0
1619,Al Harrington,0,20.0,205.74,115.212368,50,6.6,3.2,0.8,6.0,0.066,0.151,0.201,0.524,0.073
1972,Al Harrington,1,21.0,205.74,115.212368,78,7.5,4.9,1.7,0.5,0.074,0.151,0.187,0.479,0.1159999999999999
2608,Al Harrington,2,22.0,205.74,113.398,44,13.1,6.3,1.2,-1.3,0.084,0.151,0.218,0.526,0.073
2923,Al Harrington,3,23.0,205.74,113.398,82,12.2,6.2,1.5,2.8,0.075,0.162,0.218,0.493,0.089
3158,Al Harrington,4,24.0,205.74,113.398,79,13.3,6.4,1.7,1.8,0.078,0.175,0.231,0.514,0.107
3814,Al Harrington,5,25.0,205.74,113.398,66,17.5,7.0,3.2,-11.0,0.064,0.155,0.239,0.508,0.148
4308,Al Harrington,6,26.0,205.74,111.13004,76,18.6,6.9,3.1,-5.8,0.0559999999999999,0.177,0.26,0.513,0.155
4507,Al Harrington,7,27.0,205.74,111.13004,78,16.5,6.4,1.9,-0.8,0.064,0.157,0.2289999999999999,0.54,0.0969999999999999
5037,Al Harrington,8,28.0,205.74,113.398,81,13.6,5.4,1.6,3.0,0.05,0.175,0.211,0.547,0.089
5758,Al Harrington,9,29.0,205.74,113.398,73,20.1,6.2,1.4,-1.9,0.0409999999999999,0.162,0.256,0.547,0.068
5936,Al Harrington,10,30.0,205.74,113.398,72,17.7,5.6,1.5,-4.8,0.044,0.17,0.267,0.546,0.088
6669,Al Harrington,11,31.0,205.74,113.398,73,10.5,4.5,1.4,3.7,0.054,0.179,0.221,0.527,0.096
7002,Al Harrington,12,32.0,205.74,113.398,64,14.2,6.1,1.4,4.8,0.049,0.206,0.245,0.535,0.083
7622,Al Harrington,13,33.0,205.74,111.13004,10,5.1,2.7,1.0,-16.0,0.061,0.214,0.249,0.434,0.141
8093,Al Harrington,14,34.0,205.74,111.13004,34,6.6,2.4,0.8,4.1,0.036,0.157,0.228,0.506,0.089
1012,Al Harrington,99,19.0,205.74,104.32616,21,2.1,1.9,0.2,-8.3,0.132,0.148,0.21,0.359,0.06
5038,Al Horford,8,22.0,208.28,111.13004,81,10.1,9.7,1.5,-2.4,0.113,0.247,0.162,0.539,0.078
5759,Al Horford,9,23.0,208.28,111.13004,67,11.5,9.3,2.4,0.9,0.077,0.25,0.168,0.565,0.119
5937,Al Horford,10,24.0,208.28,111.13004,81,14.2,9.9,2.3,8.2,0.0969999999999999,0.231,0.179,0.594,0.102
6670,Al Horford,11,25.0,208.28,111.13004,77,15.3,9.3,3.5,0.2,0.081,0.233,0.1989999999999999,0.5870000000000001,0.1689999999999999
7001,Al Horford,12,26.0,208.28,113.398,11,12.4,7.0,2.2,6.8,0.088,0.179,0.178,0.585,0.113
7621,Al Horford,13,27.0,208.28,113.398,74,17.4,10.2,3.2,3.3,0.084,0.2289999999999999,0.221,0.56,0.149
8094,Al Horford,14,28.0,208.28,113.398,29,18.6,8.4,2.6,3.7,0.078,0.212,0.246,0.588,0.139
8329,Al Horford,15,29.0,208.28,113.398,76,15.2,7.2,3.2,6.6,0.068,0.193,0.225,0.563,0.178
8753,Al Horford,16,30.0,208.28,111.13004,82,15.2,7.3,3.2,4.9,0.062,0.18,0.206,0.565,0.165
9400,Al Horford,17,31.0,208.28,111.13004,68,14.0,6.8,5.0,5.0,0.049,0.183,0.1989999999999999,0.5529999999999999,0.239
9920,Al Horford,18,32.0,208.28,111.13004,72,12.9,7.4,4.7,7.3,0.047,0.178,0.183,0.575,0.225
10272,Al Horford,19,33.0,208.28,111.13004,68,13.6,6.7,4.2,6.1,0.062,0.161,0.188,0.605,0.203
10846,Al Horford,20,34.0,205.74,108.86208,67,11.9,6.8,4.0,3.3,0.051,0.171,0.173,0.536,0.187
11335,Al Horford,21,35.0,205.74,108.86208,28,14.2,6.7,3.4,-6.9,0.034,0.195,0.221,0.5379999999999999,0.206
11964,Al Horford,22,36.0,205.74,108.86208,69,10.2,7.7,3.4,9.3,0.054,0.201,0.147,0.574,0.159
12596,Al Horford,23,37.0,205.74,108.86208,63,9.8,6.2,3.0,7.8,0.039,0.159,0.119,0.631,0.128
3815,Al Jefferson,5,20.0,208.28,120.20188,71,6.7,4.4,0.3,-1.7,0.1369999999999999,0.205,0.212,0.5539999999999999,0.042
4307,Al Jefferson,6,21.0,208.28,120.20188,59,7.9,5.1,0.5,-4.1,0.1119999999999999,0.2319999999999999,0.22,0.53,0.055
4506,Al Jefferson,7,22.0,208.28,116.119552,69,16.0,11.0,1.3,-4.2,0.123,0.267,0.228,0.547,0.071
5039,Al Jefferson,8,23.0,208.28,120.20188,82,21.0,11.1,1.4,-11.2,0.118,0.251,0.276,0.535,0.075
5768,Al Jefferson,9,24.0,208.28,120.20188,50,23.1,11.0,1.6,-4.6,0.107,0.246,0.288,0.532,0.0819999999999999
5938,Al Jefferson,10,25.0,208.28,120.20188,76,17.1,9.3,1.8,-11.1,0.08,0.247,0.247,0.524,0.099
6671,Al Jefferson,11,26.0,208.28,127.00576,82,18.6,9.7,1.8,-3.2,0.094,0.228,0.242,0.528,0.09
7000,Al Jefferson,12,27.0,208.28,131.088088,61,19.2,9.6,2.2,3.2,0.074,0.248,0.261,0.52,0.113
7606,Al Jefferson,13,28.0,208.28,131.088088,78,17.8,9.2,2.1,-3.5,0.07,0.265,0.26,0.522,0.119
8095,Al Jefferson,14,29.0,208.28,131.088088,73,21.8,10.8,2.1,1.2,0.07,0.281,0.297,0.532,0.122
8328,Al Jefferson,15,30.0,208.28,131.088088,65,16.6,8.4,1.7,-3.7,0.054,0.26,0.267,0.5,0.11
8754,Al Jefferson,16,31.0,208.28,131.088088,47,12.0,6.4,1.5,3.7,0.0559999999999999,0.244,0.245,0.507,0.114
9399,Al Jefferson,17,32.0,208.28,131.088088,66,8.1,4.2,0.9,-5.8,0.086,0.251,0.26,0.526,0.114
9919,Al Jefferson,18,33.0,208.28,127.00576,36,7.0,4.0,0.8,-1.8,0.061,0.2269999999999999,0.218,0.563,0.098
5040,Al Thornton,8,24.0,203.2,99.79024,79,12.7,4.5,1.2,-9.2,0.052,0.141,0.242,0.504,0.084
5760,Al Thornton,9,25.0,203.2,99.79024,71,16.8,5.2,1.5,-10.6,0.052,0.114,0.228,0.502,0.068
5939,Al Thornton,10,26.0,203.2,99.79024,75,10.7,3.9,1.2,-7.5,0.065,0.105,0.192,0.523,0.072
6672,Al Thornton,11,27.0,203.2,106.59412,71,7.4,3.0,0.9,-4.8,0.048,0.139,0.182,0.531,0.072
6673,Al-Farouq Aminu,11,20.0,205.74,97.52228,81,5.6,3.3,0.7,-7.8,0.06,0.154,0.171,0.499,0.067
6999,Al-Farouq Aminu,12,21.0,205.74,97.52228,66,6.0,4.7,1.0,-0.2,0.079,0.166,0.163,0.481,0.074
7619,Al-Farouq Aminu,13,22.0,205.74,97.52228,76,7.3,7.7,1.4,-1.3,0.079,0.255,0.144,0.519,0.076
8096,Al-Farouq Aminu,14,23.0,205.74,97.52228,80,7.2,6.2,1.4,-3.8,0.071,0.213,0.142,0.516,0.083
8327,Al-Farouq Aminu,15,24.0,205.74,97.52228,74,5.6,4.6,0.8,5.7,0.091,0.18,0.151,0.504,0.062
8755,Al-Farouq Aminu,16,25.0,205.74,97.52228,82,10.2,6.1,1.7,1.5,0.045,0.185,0.1689999999999999,0.5329999999999999,0.087
9398,Al-Farouq Aminu,17,26.0,205.74,99.79024,61,8.7,7.4,1.6,1.8,0.049,0.2319999999999999,0.158,0.506,0.0819999999999999
9918,Al-Farouq Aminu,18,27.0,205.74,99.79024,69,9.3,7.6,1.2,5.2,0.045,0.198,0.145,0.522,0.0559999999999999
10273,Al-Farouq Aminu,19,28.0,205.74,99.79024,81,9.4,7.5,1.3,8.2,0.048,0.204,0.134,0.568,0.057
10853,Al-Farouq Aminu,20,29.0,203.2,99.79024,18,4.3,4.8,1.2,-5.4,0.053,0.158,0.127,0.395,0.088
11336,Al-Farouq Aminu,21,30.0,203.2,99.79024,23,4.4,4.8,1.3,-6.2,0.05,0.2,0.138,0.469,0.1009999999999999
4315,Alan Anderson,6,23.0,198.12,99.79024,36,5.8,1.9,0.9,-0.3,0.044,0.1,0.182,0.52,0.093
4505,Alan Anderson,7,24.0,198.12,99.79024,17,5.8,1.9,1.2,-3.3,0.052,0.107,0.2019999999999999,0.5379999999999999,0.144
6998,Alan Anderson,12,29.0,198.12,99.79024,17,9.6,2.0,1.5,-1.5,0.02,0.063,0.191,0.519,0.1
7618,Alan Anderson,13,30.0,198.12,99.79024,65,10.7,2.3,1.6,-3.7,0.026,0.0969999999999999,0.237,0.509,0.125
8105,Alan Anderson,14,31.0,198.12,99.79024,78,7.2,2.2,1.0,0.2,0.027,0.089,0.16,0.525,0.074
8326,Alan Anderson,15,32.0,198.12,99.79024,74,7.4,2.8,1.1,-1.4,0.02,0.109,0.142,0.563,0.074
