Player,Season,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
Aaron Brooks,2017,72,0,894,6.8,16.8,2.7,7.2,4.1,9.6,1.8,2.2,1.0,2.9,3.9,7.0,1.4,0.5,3.7,5.2,18.0,0.7744018
Aaron Brooks,2018,66,1,189,7.4,18.3,2.9,8.2,4.5,10.1,2.1,2.9,1.9,2.6,4.5,5.3,1.6,0.0,2.9,7.4,19.8,0.7744018
Aaron Gordon,2015,6,8,797,6.0,13.3,0.8,3.1,5.1,10.3,2.8,3.9,3.0,7.9,10.8,2.1,1.3,1.4,2.4,5.3,15.6,0.7744018
Aaron Gordon,2016,30,37,1863,7.4,15.5,1.1,3.8,6.2,11.7,3.5,5.2,4.1,9.5,13.6,3.4,1.6,1.5,1.8,4.1,19.3,0.7744018
Aaron Gordon,2017,52,72,2298,8.5,18.7,1.7,5.8,6.8,12.9,3.4,4.7,2.5,6.2,8.7,3.2,1.4,0.9,1.9,3.7,22.0,0.7744018
Aaron Gordon,2018,60,57,1909,9.6,22.2,2.9,8.8,6.7,13.4,4.0,5.8,2.2,9.5,11.7,3.5,1.5,1.2,2.7,2.8,26.2,0.7744018
Aaron Gordon,2019,56,78,2633,8.7,19.4,2.2,6.4,6.5,13.0,3.4,4.7,2.4,8.3,10.7,5.4,1.1,1.0,3.0,3.2,23.2,0.7744018
Aaron Gordon,2020,69,62,2017,8.1,18.5,1.8,5.7,6.3,12.8,3.6,5.4,2.6,8.9,11.5,5.5,1.2,0.9,2.4,3.0,21.6,0.7744018
Aaron Gordon,2021,65,50,1384,8.2,17.7,2.1,6.2,6.1,11.4,3.4,5.3,2.7,7.3,10.1,5.7,1.2,1.2,3.4,3.2,21.9,0.7744018
Aaron Gordon,2022,62,75,2376,9.0,17.2,1.8,5.4,7.2,11.9,3.5,4.7,2.6,6.5,9.1,3.9,0.9,0.9,2.7,3.1,23.2,0.7744018
Aaron Gordon,2023,78,68,2055,10.2,18.1,1.4,4.1,8.8,14.0,4.5,7.5,3.9,6.7,10.6,4.8,1.3,1.2,2.3,3.1,26.4,0.7744018
Aaron Gordon,2024,75,73,2297,8.6,15.5,0.9,3.0,7.7,12.5,3.8,5.8,3.8,6.4,10.2,5.6,1.2,1.0,2.3,3.1,21.9,0.7744018
Aaron Gray,2008,54,1,613,8.7,17.2,0.0,0.1,8.7,17.1,4.7,8.3,5.9,8.2,14.1,3.5,1.8,1.3,4.8,9.8,22.0,0.7744018
Aaron Gray,2009,61,18,715,5.8,12.0,0.0,0.1,5.8,12.0,2.5,4.3,6.1,9.8,15.9,3.3,1.0,1.3,2.9,9.7,14.1,0.7744018
Aaron Gray,2010,62,0,311,7.0,13.7,0.0,0.0,7.0,13.7,3.3,4.7,7.5,10.2,17.6,3.7,1.5,1.8,3.0,9.0,17.3,0.7744018
Aaron Gray,2011,53,6,531,5.7,10.1,0.0,0.0,5.7,10.1,1.7,3.5,6.0,11.4,17.4,1.6,1.1,1.2,3.3,9.8,13.1,0.7744018
Aaron Gray,2012,61,40,813,5.5,10.6,0.0,0.0,5.5,10.6,1.7,3.1,5.5,13.1,18.6,1.8,1.5,1.1,3.4,8.4,12.6,0.7744018
Aaron Gray,2013,65,16,513,5.0,9.3,0.0,0.0,5.0,9.3,2.4,4.6,5.0,8.8,13.8,3.4,0.7,0.5,3.7,8.8,12.3,0.7744018
Aaron Gray,2014,62,6,355,3.9,8.8,0.0,0.1,3.9,8.6,1.6,2.9,6.0,9.9,15.9,3.2,1.4,1.1,4.4,9.2,9.3,0.7744018
Aaron Holiday,2019,40,0,646,8.0,19.8,3.3,9.6,4.7,10.2,3.1,3.8,0.4,4.7,5.1,6.6,1.6,1.0,3.0,5.4,22.3,0.7744018
Aaron Holiday,2020,52,33,1617,7.0,16.9,2.6,6.6,4.4,10.3,2.2,2.6,0.7,4.0,4.7,6.8,1.7,0.5,2.6,3.6,18.8,0.7744018
Aaron Holiday,2021,63,8,1176,6.8,17.5,2.7,7.3,4.1,10.2,2.7,3.3,0.6,3.0,3.6,4.9,1.8,0.5,2.7,3.8,19.1,0.7744018
Aaron Holiday,2022,67,15,1021,7.2,16.2,1.9,4.9,5.4,11.3,2.8,3.3,1.2,4.7,5.9,7.3,2.0,0.4,3.2,4.4,19.2,0.7744018
Aaron Holiday,2023,69,6,845,5.2,12.4,2.0,5.0,3.2,7.4,1.5,1.8,1.4,2.8,4.2,5.0,2.1,0.7,2.0,4.5,13.9,0.7744018
Aaron Holiday,2024,72,1,1269,7.1,15.9,3.2,8.3,3.9,7.6,2.2,2.4,0.9,3.8,4.7,5.4,1.6,0.2,2.0,4.8,19.6,0.7744018
Aaron McKie,1998,68,32,1813,4.1,11.2,0.4,1.9,3.7,9.4,1.2,1.6,1.7,5.1,6.8,5.2,3.0,0.4,2.2,4.8,9.8,0.7744018
Aaron McKie,1999,78,4,959,5.4,13.4,0.3,1.8,5.0,11.6,2.5,3.5,1.5,6.4,7.9,5.6,3.6,0.2,3.2,5.1,13.6,0.7744018
Aaron McKie,2000,66,14,1952,6.5,15.7,1.2,3.2,5.3,12.5,3.2,3.9,1.2,5.3,6.5,6.4,2.9,0.5,3.0,5.1,17.3,0.7744018
Aaron McKie,2001,82,33,2394,7.5,15.8,1.2,3.8,6.3,12.0,3.3,4.3,0.7,6.2,6.9,8.3,2.3,0.2,4.5,3.9,19.4,0.7744018
Aaron McKie,2002,79,16,1471,8.1,18.0,1.9,4.7,6.2,13.3,3.5,4.5,1.0,6.1,7.0,6.6,2.1,0.5,3.4,2.7,21.6,0.7744018
Aaron McKie,2003,65,40,2374,6.3,14.7,0.8,2.5,5.5,12.3,2.5,3.0,1.3,6.4,7.7,6.1,2.9,0.2,2.4,3.9,15.9,0.7744018
Aaron McKie,2004,81,41,2112,6.8,14.9,1.9,4.4,4.9,10.5,2.2,2.9,1.2,5.4,6.5,5.0,2.2,0.6,2.7,3.7,17.8,0.7744018
Aaron McKie,2005,75,3,1118,2.8,6.4,0.9,2.8,1.9,3.6,0.5,0.7,0.9,6.9,7.8,4.7,2.2,0.8,1.4,5.2,6.9,0.7744018
Aaron Nesmith,2021,27,1,669,5.7,13.0,2.9,7.9,2.8,5.1,1.6,2.0,2.0,7.2,9.3,1.7,1.1,0.7,1.7,6.4,15.9,0.7744018
Aaron Nesmith,2022,43,3,574,6.2,15.8,2.7,10.0,3.5,5.8,1.8,2.3,1.3,6.4,7.7,1.9,1.7,0.4,2.7,6.1,17.0,0.7744018
Aaron Nesmith,2023,53,60,1816,6.6,15.4,3.0,8.2,3.6,7.2,3.1,3.7,1.6,5.6,7.2,2.6,1.4,0.9,2.0,6.1,19.3,0.7744018
Aaron Nesmith,2024,67,47,1995,7.4,15.0,3.3,7.9,4.1,7.1,2.5,3.2,1.5,5.0,6.5,2.6,1.5,1.2,1.5,5.7,20.7,0.7744018
Aaron Williams,1998,75,9,757,8.1,15.5,0.0,0.1,8.1,15.5,4.7,6.0,3.4,7.0,10.4,1.0,1.3,2.7,3.5,8.4,20.9,0.7744018
Aaron Williams,1999,73,2,458,6.1,14.4,0.0,0.1,6.1,14.3,6.3,8.7,6.3,8.7,15.0,2.6,1.6,2.8,3.5,8.8,18.5,0.7744018
Aaron Williams,2000,61,0,1545,7.9,15.1,0.0,0.1,7.9,15.0,4.9,6.7,5.3,8.4,13.7,1.9,1.4,3.1,2.7,7.8,20.6,0.7744018
Aaron Williams,2001,81,25,2336,6.6,14.5,0.0,0.0,6.6,14.5,5.5,6.9,4.7,8.5,13.2,2.0,1.3,2.5,3.0,7.1,18.8,0.7744018
Aaron Williams,2002,82,13,1546,7.8,14.8,0.0,0.1,7.8,14.8,4.4,6.3,3.9,7.6,11.5,2.6,1.0,2.6,2.7,7.2,20.0,0.7744018
Aaron Williams,2003,82,0,1597,6.5,14.4,0.0,0.0,6.5,14.4,3.3,4.3,4.5,6.4,10.9,2.9,0.9,1.9,2.8,6.8,16.4,0.7744018
Aaron Williams,2004,78,7,1337,6.9,13.7,0.0,0.1,6.9,13.6,4.2,6.2,4.1,7.7,11.8,3.3,1.4,1.8,3.6,7.5,18.1,0.7744018
Aaron Williams,2005,70,4,315,4.9,10.6,0.0,0.0,4.9,10.6,2.5,2.8,2.8,7.2,10.0,1.3,0.8,1.3,2.8,11.7,12.2,0.7744018
Aaron Williams,2006,51,5,791,6.2,12.0,0.0,0.0,6.2,12.0,2.7,3.9,4.4,8.0,12.3,1.2,1.2,1.4,2.0,9.4,15.1,0.7744018
Aaron Williams,2007,51,7,374,4.1,7.5,0.0,0.1,4.1,7.4,2.5,3.1,3.8,8.2,12.0,1.0,1.0,2.0,2.5,7.9,10.7,0.7744018
Aaron Williams,2008,42,5,297,4.7,9.7,0.0,0.0,4.7,9.7,2.5,3.2,2.6,8.1,10.7,1.6,2.1,2.6,2.3,7.7,11.9,0.7744018
Adam Keefe,1998,82,75,2047,6.0,11.2,0.0,0.0,6.0,11.2,4.3,5.3,4.7,6.8,11.5,2.3,1.4,0.6,1.9,4.5,16.3,0.7744018
Adam Keefe,1999,81,0,642,4.8,10.7,0.0,0.3,4.8,10.3,5.3,7.7,4.4,7.8,12.2,2.4,1.4,1.0,2.8,5.4,15.0,0.7744018
Adam Keefe,2000,63,3,604,4.7,11.5,0.0,0.1,4.7,11.4,2.6,3.2,4.0,8.1,12.1,3.0,1.5,1.2,4.1,8.0,12.0,0.7744018
Adam Keefe,2001,72,13,836,3.9,9.7,0.1,0.2,3.8,9.5,2.4,3.8,5.5,7.3,12.8,2.2,1.7,1.2,2.4,6.2,10.3,0.7744018
Adonal Foyle,1998,41,1,656,5.5,13.6,0.0,0.1,5.5,13.5,2.2,5.0,5.8,8.9,14.7,1.1,1.0,4.2,4.0,7.5,13.2,0.7744018
Adonal Foyle,1999,54,0,614,4.6,10.6,0.0,0.0,4.6,10.6,2.2,4.5,6.9,10.1,17.1,1.6,1.3,3.8,2.7,7.9,11.3,0.7744018
Adonal Foyle,2000,52,59,1654,5.9,11.6,0.0,0.0,5.9,11.6,1.0,2.7,5.3,7.6,12.9,1.3,0.8,4.1,2.2,6.6,12.8,0.7744018
Adonal Foyle,2001,72,37,1457,5.5,13.1,0.0,0.0,5.5,13.1,1.1,2.4,5.5,8.7,14.2,1.7,1.1,5.5,2.8,4.8,12.0,0.7744018
Adonal Foyle,2002,66,36,1485,5.8,13.2,0.0,0.0,5.8,13.2,1.3,3.2,5.1,8.0,13.1,1.4,1.2,5.7,2.6,6.1,13.0,0.7744018
Adonal Foyle,2003,80,0,1787,5.3,9.8,0.0,0.0,5.3,9.8,2.0,3.0,5.0,8.9,14.0,1.1,1.1,5.8,2.1,6.1,12.5,0.7744018
Adonal Foyle,2004,82,8,572,5.5,12.2,0.0,0.0,5.5,12.2,1.8,3.3,5.0,10.6,15.6,1.6,0.6,4.3,2.0,6.4,12.8,0.7744018
Adonal Foyle,2005,63,50,1700,4.7,9.4,0.0,0.0,4.7,9.4,1.2,2.2,5.0,8.0,13.0,1.7,0.8,4.8,1.8,6.1,10.7,0.7744018
Adonal Foyle,2006,80,72,1824,4.3,8.5,0.0,0.0,4.3,8.5,1.2,1.9,4.0,7.9,12.0,0.9,1.2,3.5,2.3,6.1,9.7,0.7744018
Adonal Foyle,2007,79,6,475,4.9,8.7,0.0,0.0,4.9,8.7,1.1,2.5,5.2,7.6,12.8,1.9,1.1,5.1,2.3,6.2,10.9,0.7744018
Adonal Foyle,2008,61,0,774,4.6,10.2,0.0,0.0,4.6,10.2,1.1,2.3,4.7,9.1,13.8,1.2,1.1,3.0,2.1,6.2,10.4,0.7744018
Adrian Griffin,2000,68,47,1927,4.6,10.9,0.4,1.5,4.2,9.4,3.1,4.2,3.4,6.4,9.8,4.7,3.1,0.4,2.4,5.8,12.8,0.7744018
Adrian Griffin,2001,73,0,377,4.5,13.3,1.2,3.6,3.3,9.8,2.5,3.3,3.7,8.3,12.0,3.7,2.5,0.7,2.5,6.2,12.8,0.7744018
Adrian Griffin,2002,63,34,1383,6.7,13.4,0.6,2.0,6.1,11.4,1.5,1.8,2.5,6.0,8.6,4.0,2.8,0.4,1.6,5.3,15.5,0.7744018
Adrian Griffin,2003,70,48,1373,5.5,12.7,0.2,0.9,5.3,11.8,1.0,1.2,3.3,6.6,10.0,4.0,2.9,0.2,1.8,5.9,12.3,0.7744018
Adrian Griffin,2005,82,1,667,4.5,12.5,0.2,0.7,4.4,11.8,2.6,3.4,4.0,7.3,11.4,4.1,3.3,0.3,2.3,6.1,11.8,0.7744018
Adrian Griffin,2006,75,45,1245,4.3,9.0,0.0,0.1,4.3,8.9,1.8,2.3,3.3,6.7,10.0,3.9,2.2,0.4,1.7,5.0,10.4,0.7744018
Adrian Griffin,2007,63,1,585,5.3,11.3,0.0,0.5,5.3,10.8,1.3,1.7,3.5,6.0,9.6,5.2,2.8,0.4,3.3,6.8,12.0,0.7744018
Adrian Griffin,2008,61,2,307,5.0,12.6,0.0,0.0,5.0,12.6,0.8,1.5,4.7,5.2,9.8,4.5,2.8,0.3,3.5,4.5,10.8,0.7744018
Al Harrington,2000,6,0,854,7.3,15.9,0.5,2.1,6.8,13.9,4.7,6.7,2.8,6.8,9.6,2.3,1.5,0.5,3.9,7.8,19.8,0.7744018
Al Harrington,2001,32,38,1892,6.8,15.4,0.0,0.2,6.8,15.2,2.9,4.5,3.4,7.4,10.8,3.7,1.8,0.5,4.2,6.3,16.6,0.7744018
Al Harrington,2002,52,1,1313,9.1,19.2,0.0,0.1,9.1,19.1,4.6,5.7,3.8,7.2,11.0,2.1,1.6,0.8,3.1,6.6,22.9,0.7744018
Al Harrington,2003,42,37,2467,8.3,19.0,0.3,1.0,8.0,18.1,4.5,5.8,3.4,7.5,10.9,2.7,1.5,0.7,3.5,6.0,21.3,0.7744018
Al Harrington,2004,68,15,2441,9.5,20.4,0.5,1.7,9.0,18.7,4.2,5.7,3.7,7.8,11.4,2.9,1.8,0.5,3.7,5.6,23.6,0.7744018
Al Harrington,2005,70,66,2550,9.3,20.3,0.3,1.5,9.0,18.8,4.9,7.2,3.0,6.5,9.5,4.3,1.8,0.3,4.2,5.1,23.8,0.7744018
Al Harrington,2006,67,76,2782,10.5,23.3,1.3,3.6,9.3,19.6,4.6,6.7,2.5,7.5,10.0,4.5,1.6,0.3,3.7,5.7,26.9,0.7744018
Al Harrington,2007,75,78,2563,9.7,21.1,2.5,5.7,7.2,15.4,3.3,4.7,2.9,6.7,9.7,2.9,1.3,0.5,3.3,5.2,25.1,0.7744018
Al Harrington,2008,80,59,2190,8.9,20.5,3.4,9.0,5.5,11.4,3.3,4.2,2.4,7.4,9.7,2.9,1.6,0.4,2.0,5.9,24.4,0.7744018
Al Harrington,2009,81,56,2546,10.4,23.6,3.3,9.2,7.0,14.5,4.6,5.7,1.9,6.9,8.9,2.0,1.7,0.4,3.1,4.4,28.6,0.7744018
Al Harrington,2010,77,15,2195,10.4,24.0,3.3,9.5,7.2,14.5,5.6,7.4,2.0,7.4,9.4,2.6,1.4,0.6,3.1,4.9,29.7,0.7744018
Al Harrington,2011,77,3,1665,8.5,20.4,3.5,9.9,4.9,10.5,2.6,3.5,2.3,7.7,10.0,3.0,1.2,0.3,3.2,6.1,23.1,0.7744018
Al Harrington,2012,77,1,1761,10.0,22.4,2.9,8.8,7.1,13.6,3.4,5.1,2.1,9.2,11.3,2.5,1.7,0.3,3.2,5.2,26.3,0.7744018
Al Harrington,2014,68,0,511,8.3,20.9,3.4,10.1,4.8,10.8,2.7,3.5,1.5,6.6,8.1,2.8,1.4,0.0,3.4,7.3,22.7,0.7744018
Al Horford,2008,27,77,2540,6.9,13.9,0.0,0.1,6.9,13.8,3.2,4.4,5.1,11.1,16.3,2.6,1.2,1.6,2.8,5.5,17.0,0.7744018
Al Horford,2009,60,67,2242,7.5,14.2,0.0,0.0,7.5,14.2,3.6,4.9,3.5,11.4,14.9,3.9,1.3,2.3,2.5,4.5,18.5,0.7744018
Al Horford,2010,60,81,2845,8.7,15.9,0.0,0.0,8.7,15.8,4.0,5.1,4.4,10.5,15.0,3.5,1.1,1.7,2.3,4.2,21.5,0.7744018
Al Horford,2011,71,77,2704,10.2,18.3,0.0,0.1,10.2,18.2,3.0,3.7,3.6,10.7,14.3,5.3,1.2,1.6,2.4,3.8,23.4,0.7744018
Al Horford,2013,75,74,2756,10.8,19.9,0.1,0.1,10.8,19.8,2.5,3.9,3.7,10.6,14.2,4.5,1.5,1.5,2.8,3.1,24.2,0.7744018
Al Horford,2015,82,76,2318,11.4,21.3,0.2,0.8,11.2,20.5,2.4,3.1,2.9,9.1,12.0,5.4,1.5,2.2,2.2,2.7,25.5,0.7744018
Al Horford,2016,79,82,2631,9.9,19.7,1.7,4.8,8.3,14.9,1.9,2.4,2.8,8.4,11.2,4.9,1.3,2.3,2.0,3.1,23.5,0.7744018
Al Horford,2017,82,68,2193,8.6,18.1,1.9,5.5,6.6,12.6,2.4,3.1,2.1,8.4,10.5,7.6,1.2,1.9,2.6,3.1,21.5,0.7744018
Al Horford,2018,75,72,2277,8.1,16.5,2.1,5.0,5.9,11.6,2.1,2.6,2.3,9.4,11.6,7.4,0.9,1.7,2.9,3.0,20.3,0.7744018
Al Horford,2019,73,68,1973,9.5,17.7,1.8,5.0,7.7,12.8,1.9,2.3,2.9,8.3,11.2,6.9,1.4,2.1,2.5,3.1,22.7,0.7744018
Al Horford,2020,68,61,2025,7.6,17.0,2.4,6.8,5.3,10.2,1.5,1.9,2.5,8.4,10.9,6.5,1.2,1.5,1.9,3.4,19.1,0.7744018
Al Horford,2022,54,69,2005,6.6,14.1,2.2,6.6,4.4,7.5,2.0,2.4,2.7,10.5,13.1,5.7,1.2,2.3,1.6,3.2,17.4,0.7744018
Al Horford,2023,58,63,1922,5.8,12.1,3.7,8.2,2.1,3.9,0.4,0.5,1.9,8.0,9.9,4.8,0.8,1.5,0.9,3.1,15.6,0.7744018
Al Horford,2024,51,33,1740,6.1,11.9,3.1,7.3,3.0,4.6,0.7,0.9,2.3,9.4,11.7,4.8,1.1,1.8,1.4,2.6,16.0,0.7744018
Al Jefferson,2005,15,1,1051,9.5,18.1,0.0,0.1,9.5,17.9,4.2,6.6,5.8,9.4,15.3,1.2,1.1,2.7,3.2,9.5,23.3,0.7744018
Al Jefferson,2006,49,7,1062,9.3,18.6,0.0,0.2,9.3,18.4,4.2,6.6,4.8,9.9,14.7,1.5,1.5,2.3,3.0,8.1,22.8,0.7744018
Al Jefferson,2007,49,60,2319,10.2,19.8,0.0,0.0,10.2,19.8,4.5,6.6,5.3,11.7,17.0,2.0,1.1,2.4,3.1,5.2,24.9,0.7744018
Al Jefferson,2008,61,82,2919,12.9,25.8,0.0,0.1,12.9,25.7,5.1,7.1,5.5,10.8,16.3,2.1,1.3,2.1,3.0,4.0,30.9,0.7744018
Al Jefferson,2009,71,50,1836,13.8,27.8,0.0,0.1,13.8,27.7,5.3,7.2,4.9,10.7,15.6,2.3,1.1,2.4,2.6,4.0,33.0,0.7744018
Al Jefferson,2010,59,76,2463,11.4,22.8,0.0,0.1,11.4,22.7,3.7,5.4,3.7,10.6,14.3,2.8,1.3,2.0,2.8,4.2,26.4,0.7744018
Al Jefferson,2011,75,82,2940,11.7,23.7,0.0,0.0,11.7,23.7,3.9,5.2,4.2,10.0,14.2,2.7,0.8,2.7,1.9,4.3,27.4,0.7744018
Al Jefferson,2012,82,61,2075,13.1,26.5,0.0,0.1,13.0,26.4,3.5,4.5,3.4,11.4,14.8,3.4,1.2,2.6,1.6,3.9,29.6,0.7744018
Al Jefferson,2013,71,78,2578,12.5,25.3,0.0,0.3,12.5,25.0,3.4,4.4,3.2,11.5,14.7,3.4,1.6,1.8,2.2,3.5,28.5,0.7744018
Al Jefferson,2014,80,73,2553,14.2,28.0,0.1,0.3,14.2,27.7,3.9,5.6,3.2,12.9,16.1,3.2,1.4,1.6,2.5,3.6,32.4,0.7744018
Al Jefferson,2015,77,61,1992,12.6,26.2,0.1,0.1,12.5,26.1,2.8,4.3,2.6,11.6,14.2,2.9,1.2,2.2,1.8,3.6,28.0,0.7744018
Al Jefferson,2016,73,18,1096,11.2,23.1,0.0,0.0,11.2,23.1,3.3,5.1,2.6,11.2,13.8,3.2,1.4,1.9,1.6,5.4,25.7,0.7744018
Al Jefferson,2017,61,1,931,12.6,25.3,0.0,0.1,12.6,25.3,3.5,4.6,4.0,10.9,14.9,3.1,1.0,0.9,1.8,6.7,28.8,0.7744018
Al Jefferson,2018,67,1,484,11.5,21.5,0.0,0.3,11.5,21.2,3.1,3.7,3.1,11.7,14.8,3.1,1.7,2.4,2.2,6.8,26.0,0.7744018
Al Thornton,2008,61,31,2158,9.0,21.0,1.0,3.1,8.0,17.9,5.2,7.0,2.4,6.3,8.6,2.4,1.1,1.0,3.1,4.7,24.3,0.7744018
Al Thornton,2009,73,67,2654,9.2,20.6,0.4,1.6,8.8,19.1,4.6,6.1,2.4,4.8,7.2,2.0,1.2,1.2,2.6,4.5,23.5,0.7744018
Al Thornton,2010,73,46,2079,8.0,16.9,0.3,0.8,7.7,16.1,3.8,5.3,2.9,4.5,7.4,2.3,1.1,0.9,2.6,5.2,20.1,0.7744018
Al Thornton,2011,78,23,1383,7.6,15.9,0.1,1.0,7.4,14.9,4.1,5.2,2.1,5.8,7.9,2.3,1.3,0.4,2.4,5.3,19.3,0.7744018
Al-Farouq Aminu,2011,15,14,1452,5.7,14.5,1.6,5.1,4.1,9.4,3.3,4.2,2.7,6.8,9.5,2.1,2.1,0.9,3.7,4.3,16.3,0.7744018
Al-Farouq Aminu,2012,53,21,1477,5.5,13.4,0.5,1.7,5.0,11.7,3.2,4.2,3.5,7.8,11.3,2.4,2.2,1.3,3.3,5.0,14.7,0.7744018
Al-Farouq Aminu,2013,53,71,2066,5.9,12.4,0.1,0.5,5.8,11.9,2.7,3.6,3.6,11.7,15.4,2.7,2.4,1.3,3.0,4.0,14.6,0.7744018
Al-Farouq Aminu,2014,65,65,2045,6.0,12.6,0.3,1.2,5.6,11.4,2.3,3.5,3.3,9.3,12.6,2.9,2.1,1.0,2.2,3.7,14.6,0.7744018
Al-Farouq Aminu,2015,70,3,1366,5.4,13.2,1.3,4.6,4.2,8.6,3.1,4.4,4.2,8.4,12.6,2.2,2.6,2.3,2.0,5.1,15.2,0.7744018
Al-Farouq Aminu,2016,71,82,2341,6.4,15.4,2.7,7.5,3.7,7.9,2.5,3.3,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,0.7744018
Al-Farouq Aminu,2017,78,25,1773,5.1,13.1,2.0,5.9,3.2,7.1,2.7,3.8,2.2,10.5,12.6,2.8,1.7,1.2,2.6,2.9,14.9,0.7744018
Al-Farouq Aminu,2018,71,67,2072,5.5,14.0,3.0,8.1,2.5,5.8,1.4,1.9,2.3,10.3,12.6,2.0,1.9,1.0,1.9,3.3,15.5,0.7744018
Al-Farouq Aminu,2019,75,81,2292,5.4,12.5,2.0,5.9,3.4,6.6,3.2,3.7,2.4,10.5,12.9,2.2,1.4,0.7,1.5,3.0,16.1,0.7744018
Alan Anderson,2006,54,7,564,6.8,16.5,2.2,5.3,4.6,11.2,3.0,3.7,2.1,4.3,6.4,2.9,1.0,0.4,2.9,4.4,18.9,0.7744018
Alan Anderson,2013,82,2,1495,8.4,21.9,3.4,10.1,5.0,11.8,4.5,5.2,1.2,4.0,5.3,3.7,1.7,0.2,2.8,4.7,24.6,0.7744018
Alan Anderson,2014,73,26,1773,5.7,14.4,2.5,7.3,3.3,7.0,2.7,3.5,1.2,4.0,5.2,2.4,1.4,0.3,1.8,4.4,16.7,0.7744018
Alan Anderson,2015,76,19,1744,5.8,13.1,2.2,6.2,3.6,6.8,2.4,3.0,0.9,5.1,6.1,2.5,1.7,0.1,1.8,4.4,16.2,0.7744018
Alan Anderson,2017,61,0,308,4.9,13.0,2.3,7.1,2.6,5.8,1.9,2.6,0.5,3.4,3.9,1.8,0.5,0.0,1.1,5.7,14.0,0.7744018
Alan Henderson,1998,68,33,2000,10.0,20.6,0.1,0.2,9.9,20.5,6.9,10.6,5.5,6.6,12.1,2.0,1.1,1.0,3.0,4.8,27.0,0.7744018
Alan Henderson,1999,72,37,1142,9.2,20.8,0.0,0.0,9.2,20.8,4.9,7.3,4.9,7.4,12.3,1.4,1.6,0.9,2.9,4.7,23.3,0.7744018
Alan Henderson,2000,60,82,2775,8.1,17.5,0.0,0.2,8.1,17.3,4.2,6.3,5.0,5.8,10.8,1.5,1.5,1.0,2.6,4.4,20.4,0.7744018
