Player,Season,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
A.C. Green,1998,61,68,2649,4.9,10.8,0.0,0.1,4.9,10.7,2.3,3.3,4.4,9.0,13.5,2.5,1.6,0.5,1.4,3.2,12.1,0.7744018
A.C. Green,1999,68,35,924,6.3,14.9,0.0,0.5,6.3,14.5,1.8,3.0,4.8,8.5,13.3,1.5,1.6,0.5,1.1,4.0,14.4,0.7744018
A.C. Green,2000,49,82,1929,4.6,10.3,0.0,0.1,4.6,10.2,1.8,2.5,4.3,8.7,13.0,2.1,1.4,0.5,1.4,3.4,11.0,0.7744018
A.C. Green,2001,61,1,1411,5.6,12.7,0.0,0.2,5.6,12.4,3.1,4.3,4.2,8.0,12.2,1.5,1.2,0.3,1.8,4.6,14.3,0.7744018
A.J. Price,2010,54,2,865,8.3,20.2,3.4,9.9,4.9,10.3,3.4,4.3,0.7,4.3,5.0,6.1,2.0,0.2,3.4,3.0,23.4,0.7744018
A.J. Price,2011,58,0,795,7.3,20.4,2.6,9.5,4.7,10.9,3.4,5.2,1.0,3.6,4.6,7.1,1.8,0.1,3.4,3.9,20.6,0.7744018
A.J. Price,2012,59,1,568,5.5,16.2,2.4,8.2,3.1,8.0,2.6,3.3,1.2,4.5,5.7,8.0,1.9,0.2,3.0,2.8,16.0,0.7744018
A.J. Price,2013,59,22,1278,6.6,16.8,2.9,8.1,3.7,8.7,2.0,2.5,0.8,3.8,4.6,8.4,1.3,0.1,2.6,3.0,18.0,0.7744018
Aaron Brooks,2008,54,0,608,8.1,19.7,3.1,9.5,5.0,10.1,3.7,4.3,1.1,3.8,4.9,7.6,1.1,0.4,3.8,6.0,23.1,0.7744018
Aaron Brooks,2009,56,35,1998,8.4,20.9,3.0,8.2,5.4,12.6,4.0,4.6,0.9,3.3,4.2,6.3,1.2,0.2,3.3,4.0,23.8,0.7744018
Aaron Brooks,2010,74,82,2919,10.1,23.3,3.7,9.2,6.4,14.1,4.3,5.2,0.9,2.8,3.8,7.6,1.2,0.2,4.1,3.5,28.0,0.7744018
Aaron Brooks,2011,78,12,1284,8.7,23.3,2.8,9.4,5.9,13.9,4.9,5.6,0.8,2.3,3.1,9.2,1.3,0.1,3.9,4.6,25.1,0.7744018
Aaron Brooks,2013,82,20,997,7.3,16.2,2.6,6.9,4.8,9.3,2.1,2.7,0.7,3.4,4.1,5.9,1.5,0.5,3.4,4.8,19.3,0.7744018
Aaron Brooks,2014,67,12,1557,7.4,18.4,3.0,7.9,4.3,10.6,2.6,3.0,1.4,3.1,4.4,7.4,1.6,0.4,3.7,4.6,20.4,0.7744018
Aaron Brooks,2015,77,21,1885,9.4,22.4,3.3,8.6,6.1,13.8,4.0,4.8,0.9,3.7,4.6,7.2,1.5,0.4,4.3,5.2,26.2,0.7744018
Aaron Brooks,2016,82,0,1108,8.5,21.2,3.0,8.4,5.5,12.9,2.2,2.9,1.0,3.6,4.6,8.1,1.4,0.5,3.7,6.0,22.2,0.7744018
