player_name,season,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Aaron Henry,2022,22.0,6,0.3,0.2,0.0,-56.0,0.0,0.048,0.149,0.2,0.0
Aaron Holiday,2019,22.0,50,5.9,1.3,1.7,7.0,0.008,0.088,0.206,0.518,0.18
Aaron Holiday,2020,23.0,66,9.5,2.4,3.4,2.2,0.013,0.077,0.182,0.521,0.188
Aaron Holiday,2021,24.0,66,7.2,1.3,1.9,-0.2,0.012,0.06,0.1889999999999999,0.503,0.139
Aaron Holiday,2022,25.0,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223
Aaron Holiday,2023,26.0,63,3.9,1.2,1.4,0.9,0.0279999999999999,0.059,0.129,0.528,0.135
Aaron Jackson,2018,32.0,1,8.0,3.0,1.0,-19.8,0.0559999999999999,0.031,0.149,0.405,0.053
Aaron McKie,1997,24.0,83,5.2,2.7,1.9,5.2,0.031,0.129,0.147,0.524,0.163
Aaron McKie,1998,25.0,81,4.1,2.9,2.2,1.6,0.036,0.113,0.121,0.41,0.159
Aaron McKie,1999,26.0,50,4.8,2.8,2.0,-1.9,0.033,0.139,0.152,0.4539999999999999,0.183
Aaron McKie,2000,27.0,82,8.0,3.0,2.9,0.1,0.026,0.115,0.172,0.497,0.2019999999999999
Aaron McKie,2001,28.0,76,11.6,4.1,5.0,6.8,0.016,0.13,0.19,0.5489999999999999,0.264
Aaron McKie,2002,29.0,48,12.2,4.0,3.7,3.4,0.02,0.125,0.1989999999999999,0.54,0.22
Aaron McKie,2003,30.0,80,9.0,4.4,3.5,3.9,0.03,0.143,0.158,0.497,0.185
Aaron McKie,2004,31.0,75,9.2,3.4,2.6,-1.7,0.025,0.118,0.163,0.55,0.1689999999999999
Aaron McKie,2005,32.0,68,2.2,2.5,1.5,0.2,0.019,0.155,0.07,0.51,0.135
Aaron McKie,2006,33.0,14,0.5,1.4,0.8,-6.2,0.03,0.168,0.06,0.272,0.147
Aaron McKie,2007,34.0,10,2.2,1.8,1.3,-4.0,0.009,0.155,0.089,0.647,0.165
Aaron Miles,2006,23.0,19,0.8,0.7,1.3,-3.9,0.0,0.154,0.113,0.405,0.308
Aaron Nesmith,2021,21.0,46,4.7,2.8,0.5,-0.5,0.0409999999999999,0.146,0.133,0.573,0.047
Aaron Nesmith,2022,22.0,52,3.8,1.7,0.4,3.0,0.025,0.1169999999999999,0.1639999999999999,0.507,0.057
Aaron Nesmith,2023,23.0,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073
Aaron Wiggins,2022,23.0,50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083
Aaron Wiggins,2023,24.0,70,6.8,3.0,1.1,1.5,0.05,0.109,0.143,0.607,0.084
Aaron Williams,1997,25.0,33,6.2,4.3,0.5,-8.3,0.129,0.163,0.168,0.599,0.051
Aaron Williams,1998,26.0,65,4.6,2.3,0.2,5.5,0.084,0.147,0.186,0.5770000000000001,0.0289999999999999
Aaron Williams,1999,27.0,40,4.0,3.2,0.6,-11.2,0.129,0.191,0.18,0.508,0.094
Aaron Williams,2000,28.0,81,7.6,5.0,0.7,2.2,0.122,0.186,0.18,0.5720000000000001,0.062
Aaron Williams,2001,29.0,82,10.2,7.2,1.1,-9.1,0.102,0.2,0.18,0.5329999999999999,0.068
Aaron Williams,2002,30.0,82,7.2,4.1,0.9,4.8,0.087,0.165,0.179,0.568,0.084
Aaron Williams,2003,31.0,81,6.2,4.1,1.1,1.0,0.099,0.136,0.165,0.504,0.092
