PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,player_name
1631128,2024-25,00,1610612743,DEN,23.0,1,1,29.0,8,15,0.533,0,3,0.0,0,0,0.0,2,5,7,1,2,2,3,1,16,Christian Braun
1628969,2024-25,00,1610612752,NYK,28.0,2,2,68.0,15,25,0.6,4,10,0.4,3,5,0.6,1,0,1,7,1,0,2,4,37,Mikal Bridges
1628970,2024-25,00,1610612766,CHA,26.0,2,2,63.0,13,28,0.464,3,11,0.273,8,8,1.0,1,13,14,2,1,2,4,4,37,Miles Bridges
1628415,2024-25,00,1610612745,HOU,28.0,2,2,63.0,6,18,0.333,2,9,0.222,6,6,1.0,4,3,7,0,2,0,0,7,20,Dillon Brooks
1627759,2024-25,00,1610612738,BOS,28.0,2,2,60.0,17,38,0.447,8,15,0.533,8,9,0.889,3,12,15,4,5,0,3,4,50,Jaylen Brown
1628973,2024-25,00,1610612752,NYK,28.0,2,2,54.0,19,33,0.576,4,7,0.571,6,7,0.857,2,4,6,7,0,0,5,4,48,Jalen Brunson
1628418,2024-25,00,1610612748,MIA,27.0,1,0,16.0,2,2,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,1,0,7,Thomas Bryant
1630215,2024-25,00,1610612764,WAS,24.0,1,0,9.0,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,2,1,0,0,0,6,Jared Butler
202710,2024-25,00,1610612748,MIA,35.0,1,1,26.0,1,8,0.125,0,2,0.0,1,2,0.5,1,3,4,5,1,1,1,1,3,Jimmy Butler
203484,2024-25,00,1610612753,ORL,31.0,2,2,51.0,3,12,0.25,2,10,0.2,5,5,1.0,1,1,2,4,3,4,2,2,13,Kentavious Caldwell-Pope
1641739,2024-25,00,1610612757,POR,24.0,2,2,55.0,5,14,0.357,3,6,0.5,3,4,0.75,8,4,12,6,3,0,3,8,16,Toumani Camara
203991,2024-25,00,1610612737,ATL,30.0,2,2,41.0,5,7,0.714,0,0,0.0,2,2,1.0,2,12,14,2,2,3,3,3,12,Clint Capela
1628976,2024-25,00,1610612753,ORL,25.0,2,2,58.0,6,12,0.5,2,5,0.4,2,4,0.5,5,20,25,6,4,0,1,3,16,Wendell Carter Jr.
